id,name,query
dcd7637e-c10b-48a7-8127-f27fff1e5cdd,"Ayrshire Mine Clinic","Ayrshire Mine, Banket, Harare"
04fc1df3-d52d-46f4-9fef-e60b6868653d,"Banket District Hospital","Court Road, Banket, Harare"
9e66a7a7-72fd-463d-93b6-ed670cd75fe4,"Banket Family Practice","232 Stations Road, Banket, Harare"
5b435c5d-70bd-474e-8ef4-ef86f60db48c,"Banket Kuwadzana Surgery","748 Kuwadzana Township, Banket, Harare"
f7989f21-1d68-4d65-bd67-fbe7c2965270,"Banket-mart Pharmacy","Shop No. 2 Stand No. 20 Kuwadzana Shopping Centre, Banket, Harare"
d1c0086b-a71a-4ae7-8e4c-70e39e1a5933,"Banket Medical Imaging- Xray Unit","232 Station Road, Banket, Harare"
774a0e25-e96e-4cdf-8650-d56378de42c6,"Muriel Mine Clinic--pan African Mining","Muriel Mine Mutorashanga, Banket, Harare"
da5d23b4-a2a8-4baf-9286-7eb248753c4f,"Neo Dental Clinic","Number 212 Banket, Banket, Harare"
d82ef74a-a994-4f82-9817-5077c8ab882b,"Perble Medical Laboratories","59 Lomagundi Road Banket, Banket, Harare"
a879b94b-1cd5-46f4-89ba-9b86df01170e,"The Chemist","Shop 6 Stand 154 Industrial Banket, Banket, Harare"
ba1861a8-85f1-40cc-b065-b80ce00884fb,"Zvimba Rdc-kuwadzana Rural Clinic","Ward 23 Kuwadzana Township Zvimba District, Banket, Harare"
00f4aa4d-a0e3-4d99-b5f3-381d42bad99d,"Beatrice Rdc-acton Reynolds Rural Health Center","Acton Reynolds Resettlement Area Box 88, Beatrice, Harare"
71e6a657-cede-4ad9-b701-af2bf428f7bf,"Beatrice Rdc-ringa Rural Health Center","Ringa Resettlement Area Box 141, Beatrice, Harare"
3c8b822f-2fd3-42d0-9e3e-8b1eb02fd6bf,"Betacare Pharmacy","3/8 Beatrice Township, Beatrice, Harare"
cd9cebaa-af1c-4e79-a923-59a980909e94,"Betacare Pharmacy","318 Beatrice Township, Beatrice, Harare"
1cc4cc29-c5c6-43e5-b205-1703f7ba0eb5,"Eaglehut Pharmacy- Beatrice","25 Beatrice Puma Service Station, Beatrice, Harare"
8417896e-e9d4-412c-a426-187cbb4450be,"Imperial Medical Centre","4921 Dunnotor, Beatrice, Harare"
2c3b0815-4204-40ba-8732-590f044aec36,"Manyame Rural District Council Bwoni Clinic","Stand Number 34, Beatrice, Harare"
fa371b34-16ec-4cec-9387-b1db74b09778,"St Michaels Mission Hospital","St Michaels Mission Hospital, Beatrice, Harare"
faefbe7b-b51f-4177-8941-754c197c1c4d,"Wholelife Medical Centre","317 Beatrice Township Beatrice, Beatrice, Harare"
f04546fb-ef64-4528-964e-af941728807c,"Amstes Surgery","2854 Dulibadzimu, Beitbridge, Matabeleland South"
cfd7d2f4-a463-4d0c-b60f-32b40d7d3996,"Beit Border 24hr Pharmacy","4722 Cdulibadzimu Township, Beitbridge, Matabeleland South"
833612c3-e293-463e-8713-03d85dcafb6c,"Beitbridge District Hospital","175 Dulivhazimu, Beitbridge, Matabeleland South"
